Season,Data,Home,Away,GolHome,GolAWAy,Resultado,TotalGols,EscanteiosH,EscanteiosA,TotalCantos,EscanteiosHTH,EscanteiosHTA,TotalCantosHT,CartaoH,CartaoA,TotalCartao,GolHTH,GolHTA,TotalGolsHT
2013,2013-09-12,Goias,Cruzeiro,1,2,A    ,3,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-12,Botafogo,Corinthians,1,0,H    ,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-12,Nautico,Gremio,0,2,A    ,2,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-12,Portuguesa,Vasco,2,0,H    ,2,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-12,Internacional,Vitoria,2,2,D    ,4,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-11,Atletico PR,Fluminense,1,1,D    ,2,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-10,Internacional,Santos,1,2,A    ,3,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-08,Gremio,Portuguesa,3,2,H    ,5,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-08,Corinthians,Nautico,0,0,D    ,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-08,Coritiba,Sao Paulo,2,0,H    ,2,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-08,Cruzeiro,Flamengo,1,0,H    ,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-08,Criciuma,Botafogo,1,2,A    ,3,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-08,Vasco,Atletico PR,0,0,D    ,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-07,Fluminense,Bahia,1,0,H    ,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-07,Ponte Preta,Internacional,1,3,A    ,4,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-07,Santos,Goias,1,0,H    ,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-07,Vitoria,Atletico MG,1,1,D    ,2,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-06,Nautico,Vasco,0,3,A    ,3,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-06,Sao Paulo,Criciuma,1,2,A    ,3,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-05,Portuguesa,Ponte Preta,2,1,H    ,3,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-05,Atletico MG,Fluminense,2,2,D    ,4,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-05,Bahia,Cruzeiro,1,3,A    ,4,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-05,Internacional,Corinthians,1,0,H    ,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-05,Botafogo,Coritiba,3,1,H    ,4,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-04,Nautico,Sao Paulo,0,1,A    ,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-04,Atletico PR,Santos,2,1,H    ,3,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-04,Flamengo,Vitoria,2,1,H    ,3,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-03,Goias,Gremio,2,0,H    ,2,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-01,Fluminense,Santos,0,2,A    ,2,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-01,Botafogo,Sao Paulo,0,0,D    ,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-01,Corinthians,Flamengo,4,0,H    ,4,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-01,Coritiba,Internacional,0,0,D    ,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-01,Vitoria,Criciuma,0,1,A    ,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-09-01,Cruzeiro,Vasco,5,3,H    ,8,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-08-31,Goias,Atletico MG,0,0,D    ,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-08-31,Gremio,Ponte Preta,1,0,H    ,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-08-31,Nautico,Atletico PR,1,4,A    ,5,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-08-31,Portuguesa,Bahia,4,2,H    ,6,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-08-25,Criciuma,Coritiba,2,1,H    ,3,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-08-25,Atletico MG,Portuguesa,2,1,H    ,3,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-08-25,Bahia,Nautico,2,0,H    ,2,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-08-25,Sao Paulo,Fluminense,2,1,H    ,3,0,0,0,0,0,0,0,0,0,0,0,0
2013,2013-08-15,Sao Paulo,Atletico PR,1,1,D    ,2,0,0,0,0,0,0,0,0,0,0,0,0
2025,2025-03-29,Gremio,Atletico MG,2,1,H    ,3,1,11,12,0,3,3,4,0,4,2,0,2
2025,2025-03-29,Sao Paulo,Sport Recife,0,0,D    ,0,6,2,8,2,1,3,0,2,2,0,0,0
2025,2025-03-30,Palmeiras,Botafogo,0,0,D    ,0,2,2,4,0,1,1,3,3,6,0,0,0
2025,2025-03-30,Vasco,Santos,2,1,H    ,3,2,3,5,1,0,1,1,1,2,0,1,1
2025,2025-03-30,Bahia,Corinthians,1,1,D    ,2,3,5,8,2,2,4,5,2,7,1,0,1
2025,2025-03-31,Bragantino,Ceara,2,2,D    ,4,9,2,11,4,2,6,1,3,4,1,2,3
2025,2025-04-05,Corinthians,Vasco,3,0,H    ,3,1,4,5,0,2,2,3,2,5,2,0,2
2025,2025-04-05,Ceara,Gremio,2,0,H    ,2,3,9,12,2,4,6,1,3,4,1,0,1
2025,2025-04-05,Botafogo,Juventude,2,0,H    ,2,3,3,6,1,3,4,2,3,5,1,0,1
2025,2025-04-06,Fluminense,Bragantino,2,1,H    ,3,6,6,12,3,3,6,1,0,1,1,0,1
2025,2025-04-06,Atletico MG,Sao Paulo,0,0,D    ,0,12,4,16,0,2,2,3,4,7,0,0,0
2025,2025-04-06,EC Vitória,Flamengo,1,2,A    ,3,2,6,8,1,2,3,0,0,0,0,0,0
2025,2025-04-06,Sport Recife,Palmeiras,1,2,A    ,3,6,3,9,4,1,5,6,4,10,1,1,2
2025,2025-04-06,Mirasol,Fortaleza,1,1,D    ,2,8,1,9,1,1,2,2,3,5,0,1,1
2025,2025-04-06,Internacional,Cruzeiro,3,0,H    ,3,9,2,11,5,0,5,1,2,3,2,0,2
2025,2025-04-06,Santos,Bahia,2,2,D    ,4,9,3,12,3,2,5,5,2,7,0,1,1
2025,2025-04-12,Bragantino,Botafogo,1,0,H    ,1,3,8,11,3,3,6,3,2,5,1,0,1
2025,2025-04-12,Juventude,Ceara,2,1,H    ,3,4,3,7,4,1,5,1,3,4,1,1,2
